order_id,order_date,region,channel,segment,units,unit_price,discount,revenue,cost
SO-100293,2025-01-07,West,Direct,SMB,38,127.32,0.1,4354.34,2952.02
SO-100480,2025-01-07,West,Direct,Enterprise,12,1863.01,0.0,22356.12,15868.08
SO-100499,2025-01-07,Midwest,Direct,SMB,42,229.11,0.05,9141.49,5723.96
SO-100530,2025-01-07,Midwest,Partner,SMB,28,227.53,0.25,4778.13,3694.88
SO-100754,2025-01-07,West,Direct,Mid-Market,17,718.19,0.1,10988.31,7690.57
SO-101066,2025-01-07,South,Direct,Mid-Market,21,381.31,0.1,7206.76,4524.13
SO-101275,2025-01-07,West,Marketplace,Mid-Market,8,697.89,0.0,5583.12,3081.58
SO-101471,2025-01-07,Midwest,Marketplace,SMB,39,90.95,0.15,3014.99,2406.18
SO-101811,2025-01-07,West,Direct,SMB,19,190.94,0.0,3627.86,2238.01
SO-101824,2025-01-07,Northeast,Partner,Mid-Market,20,834.05,0.05,15846.95,11884.33
SO-102013,2025-01-07,Northeast,Direct,SMB,25,276.87,0.0,6921.75,3901.74
SO-102344,2025-01-07,West,Direct,Enterprise,12,2286.82,0.25,20581.38,18117.76
SO-100030,2025-01-08,Midwest,Marketplace,SMB,47,210.67,0.05,9406.42,7017.35
SO-100382,2025-01-08,West,Direct,Enterprise,11,2453.22,0.05,25636.15,16450.75
SO-101297,2025-01-08,Midwest,Direct,SMB,43,217.72,0.05,8893.86,5624.44
SO-101453,2025-01-08,West,Direct,Enterprise,7,1732.92,0.0,12130.44,7125.26
SO-101572,2025-01-08,West,Marketplace,SMB,6,288.79,0.0,1732.74,1078.72
SO-100061,2025-01-09,Northeast,Direct,SMB,38,248.48,0.1,8498.02,6727.91
SO-100497,2025-01-09,West,Marketplace,Mid-Market,8,817.85,0.1,5888.52,4458.68
SO-100561,2025-01-09,Midwest,Partner,SMB,5,118.69,0.25,445.09,414.21
SO-100616,2025-01-09,West,Direct,SMB,36,269.13,0.0,9688.68,6266.13
SO-100634,2025-01-09,West,Marketplace,Mid-Market,14,362.33,0.1,4565.36,3331.78
SO-101233,2025-01-09,Northeast,Marketplace,Mid-Market,8,602.27,0.0,4818.16,3350.25
SO-101644,2025-01-09,Northeast,Direct,SMB,3,212.47,0.05,605.54,451.45
SO-101838,2025-01-09,Northeast,Direct,Mid-Market,20,494.47,0.0,9889.4,5925.8
SO-101981,2025-01-09,West,Direct,Mid-Market,13,747.61,0.1,8747.04,5882.72
SO-102324,2025-01-09,South,Partner,Enterprise,3,1581.03,0.1,4268.78,2612.34
SO-100050,2025-01-10,Midwest,Partner,SMB,36,294.4,0.05,10068.48,6271.77
SO-100514,2025-01-10,West,Partner,Mid-Market,5,798.49,0.15,3393.58,2261.39
SO-100575,2025-01-10,Midwest,Partner,Enterprise,2,2488.83,0.25,3733.24,2863.47
SO-100764,2025-01-10,West,Direct,SMB,24,77.29,0.0,1854.96,1025.21
SO-100927,2025-01-10,Northeast,Direct,Mid-Market,2,914.8,0.0,1829.6,1120.5
SO-100964,2025-01-10,West,Marketplace,Mid-Market,11,785.1,0.0,8636.1,4754.02
SO-101015,2025-01-10,South,Direct,SMB,3,132.92,0.05,378.82,225.36
SO-101430,2025-01-10,Midwest,Marketplace,SMB,15,285.65,0.0,4284.75,2567.28
SO-101745,2025-01-10,South,Direct,SMB,5,193.73,0.05,920.22,695.63
SO-102106,2025-01-10,Midwest,Direct,SMB,14,152.71,0.0,2137.94,1347.46
SO-102262,2025-01-10,Northeast,Partner,SMB,27,216.57,0.05,5555.02,4208.08
SO-100265,2025-01-11,Northeast,Marketplace,Mid-Market,15,930.91,0.1,12567.28,9904.12
SO-100358,2025-01-11,Northeast,Direct,Mid-Market,30,941.43,0.0,28242.9,16233.76
SO-100526,2025-01-11,South,Marketplace,Mid-Market,19,878.36,0.15,14185.51,10111.44
SO-101188,2025-01-11,Northeast,Partner,Mid-Market,22,706.74,0.0,15548.28,8986.44
SO-101323,2025-01-11,Midwest,Direct,Enterprise,3,1863.67,0.05,5311.46,3770.37
SO-101696,2025-01-11,Midwest,Direct,SMB,7,154.41,0.15,918.74,603.47
SO-102111,2025-01-11,Northeast,Partner,Enterprise,8,1155.31,0.0,9242.48,5539.91
SO-102154,2025-01-11,Northeast,Direct,Mid-Market,29,807.67,0.0,23422.43,13055.31
SO-102238,2025-01-11,Midwest,Direct,SMB,1,95.99,0.05,91.19,64.24
SO-102326,2025-01-11,Northeast,Direct,Enterprise,4,1248.28,0.1,4493.81,3310.39
SO-102382,2025-01-11,Northeast,Direct,SMB,10,129.46,0.05,1229.87,839.96
SO-102386,2025-01-11,West,Direct,Enterprise,1,1435.17,0.0,1435.17,843.31
SO-100298,2025-01-12,West,Marketplace,SMB,16,67.3,0.0,1076.8,661.62
SO-101026,2025-01-12,Northeast,Direct,SMB,25,55.06,0.25,1032.38,969.53
SO-102032,2025-01-12,Northeast,Direct,SMB,12,129.56,0.0,1554.72,1039.83
SO-100823,2025-01-13,West,Marketplace,Mid-Market,19,836.27,0.0,15889.13,10977.45
SO-100931,2025-01-13,Midwest,Direct,SMB,55,191.59,0.0,10537.45,7447.23
SO-101009,2025-01-13,West,Direct,Enterprise,11,1409.81,0.05,14732.51,9223.19
SO-101084,2025-01-13,Midwest,Direct,Mid-Market,26,552.41,0.15,12208.26,8783.46
SO-100018,2025-01-14,Midwest,Direct,Enterprise,4,1943.92,0.0,7775.68,4610.07
SO-100472,2025-01-14,Midwest,Marketplace,Mid-Market,15,728.74,0.1,9837.99,7269.23
SO-100632,2025-01-14,South,Direct,SMB,52,167.3,0.0,8699.6,5322.29
SO-101144,2025-01-14,West,Direct,SMB,8,106.33,0.05,808.11,602.81
SO-101192,2025-01-14,Midwest,Partner,Enterprise,7,1426.89,0.0,9988.23,6226.75
SO-101523,2025-01-14,South,Partner,SMB,45,219.34,0.1,8883.27,5624.47
SO-101560,2025-01-14,South,Partner,SMB,13,96.53,0.0,1254.89,815.78
SO-101707,2025-01-14,South,Direct,SMB,16,121.81,0.25,1461.72,1355.93
SO-101715,2025-01-14,Midwest,Partner,Mid-Market,12,558.33,0.1,6029.96,4444.33
SO-102026,2025-01-14,Northeast,Direct,Mid-Market,10,352.8,0.05,3351.6,2016.06
SO-102028,2025-01-14,West,Marketplace,SMB,16,80.42,0.15,1093.71,836.22
SO-102079,2025-01-14,Midwest,Direct,Enterprise,12,2032.12,0.1,21946.9,13852.77
SO-102127,2025-01-14,South,Direct,Mid-Market,5,857.85,0.0,4289.25,2393.61
SO-102273,2025-01-14,Northeast,Direct,SMB,7,46.45,0.05,308.89,188.75
SO-102394,2025-01-14,South,Partner,SMB,23,274.91,0.25,4742.2,4159.86
SO-100024,2025-01-15,Midwest,Marketplace,SMB,31,111.09,0.05,3271.6,2454.07
SO-100292,2025-01-15,Midwest,Marketplace,Enterprise,3,2511.32,0.0,7533.96,4742.46
SO-101235,2025-01-15,Midwest,Marketplace,Enterprise,3,2559.64,0.0,7678.92,4667.7
SO-101334,2025-01-15,Midwest,Direct,SMB,2,154.91,0.0,309.82,222.36
SO-101477,2025-01-15,West,Marketplace,Mid-Market,20,719.17,0.15,12225.89,9729.24
SO-101840,2025-01-15,Northeast,Partner,Enterprise,12,1186.96,0.0,14243.52,8435.83
SO-102115,2025-01-15,West,Marketplace,SMB,30,84.92,0.25,1910.7,1654.24
SO-100102,2025-01-16,West,Direct,SMB,16,252.02,0.1,3629.09,2245.64
SO-100163,2025-01-16,Northeast,Partner,SMB,2,156.29,0.1,281.32,190.35
SO-101427,2025-01-16,South,Marketplace,Enterprise,11,2086.64,0.05,21805.39,16322.45
SO-101510,2025-01-16,West,Marketplace,SMB,45,212.29,0.05,9075.4,5431.16
SO-102202,2025-01-16,West,Marketplace,SMB,11,230.2,0.0,2532.2,1482.71
SO-100216,2025-01-17,Midwest,Direct,Enterprise,1,2401.66,0.05,2281.58,1573.32
SO-100783,2025-01-17,Northeast,Marketplace,SMB,8,239.98,0.05,1823.85,1261.09
SO-100958,2025-01-17,Northeast,Direct,Mid-Market,25,398.86,0.15,8475.77,6381.5
SO-101004,2025-01-17,Northeast,Partner,SMB,16,62.82,0.0,1005.12,562.7
SO-101092,2025-01-17,South,Marketplace,SMB,44,94.72,0.0,4167.68,2961.87
SO-101132,2025-01-17,West,Direct,Mid-Market,17,580.74,0.0,9872.58,6091.47
SO-101239,2025-01-17,West,Partner,Mid-Market,29,403.59,0.0,11704.11,6635.22
SO-101328,2025-01-17,Northeast,Marketplace,Enterprise,4,1790.08,0.0,7160.32,4312.19
SO-101861,2025-01-17,Midwest,Marketplace,SMB,45,99.64,0.1,4035.42,2890.09
SO-100142,2025-01-18,South,Direct,Mid-Market,11,708.11,0.0,7789.21,4962.94
SO-100160,2025-01-18,Northeast,Direct,SMB,59,252.06,0.05,14127.96,10265.23
SO-100170,2025-01-18,Northeast,Direct,Mid-Market,12,648.69,0.15,6616.64,4877.26
SO-100643,2025-01-18,South,Partner,SMB,36,246.68,0.05,8436.46,5566.02
SO-101204,2025-01-18,Northeast,Marketplace,SMB,19,281.75,0.0,5353.25,3755.39
SO-101222,2025-01-18,Midwest,Marketplace,SMB,49,292.59,0.0,14336.91,8654.54
SO-101466,2025-01-18,Northeast,Marketplace,SMB,41,73.01,0.15,2544.4,1692.37
SO-101482,2025-01-18,South,Marketplace,SMB,46,243.77,0.0,11213.42,6224.21
SO-101533,2025-01-18,Midwest,Marketplace,SMB,60,282.93,0.0,16975.8,9593.28
SO-101753,2025-01-18,West,Partner,Mid-Market,17,861.53,0.0,14646.01,9214.62
SO-101898,2025-01-18,South,Direct,Enterprise,9,2349.52,0.05,20088.4,12477.26
SO-101909,2025-01-18,South,Direct,SMB,17,200.47,0.0,3407.99,2387.17
SO-101976,2025-01-18,West,Marketplace,Mid-Market,20,416.41,0.05,7911.79,5263.51
SO-102040,2025-01-18,Northeast,Marketplace,SMB,11,116.96,0.0,1286.56,890.84
SO-102137,2025-01-18,Northeast,Marketplace,Mid-Market,8,513.4,0.25,3080.4,2361.65
SO-100267,2025-01-19,West,Direct,SMB,17,76.03,0.0,1292.51,762.88
SO-100750,2025-01-19,Midwest,Direct,Mid-Market,14,579.4,0.15,6894.86,5002.57
SO-100946,2025-01-19,South,Direct,SMB,1,200.44,0.1,180.4,113.96
SO-101667,2025-01-19,West,Marketplace,SMB,34,111.21,0.0,3781.14,2487.73
SO-101825,2025-01-19,South,Direct,SMB,24,197.44,0.1,4264.7,2687.2
SO-101902,2025-01-19,South,Marketplace,SMB,27,138.66,0.05,3556.63,2101.47
SO-102248,2025-01-19,West,Marketplace,SMB,43,295.06,0.05,12053.2,8815.28
SO-100452,2025-01-20,West,Marketplace,Mid-Market,26,527.9,0.0,13725.4,8957.13
SO-100512,2025-01-20,West,Marketplace,Mid-Market,8,825.71,0.0,6605.68,3687.79
SO-100600,2025-01-20,South,Direct,SMB,21,103.12,0.0,2165.52,1515.42
SO-100680,2025-01-20,Northeast,Direct,SMB,12,95.54,0.0,1146.48,781.41
SO-100712,2025-01-20,Midwest,Marketplace,Mid-Market,19,830.59,0.0,15781.21,10761.98
SO-101129,2025-01-20,Northeast,Direct,SMB,47,110.58,0.1,4677.53,3493.49
SO-102246,2025-01-20,Northeast,Direct,SMB,39,71.6,0.0,2792.4,1862.57
SO-100266,2025-01-21,Northeast,Marketplace,Enterprise,11,1955.57,0.15,18284.58,14111.18
SO-100638,2025-01-21,Northeast,Direct,SMB,55,231.24,0.0,12718.2,8356.19
SO-101255,2025-01-21,West,Partner,Mid-Market,25,387.52,0.05,9203.6,6388.19
SO-101484,2025-01-21,Northeast,Direct,Enterprise,4,1594.92,0.0,6379.68,4509.3
SO-102039,2025-01-21,West,Direct,SMB,31,294.82,0.05,8682.45,5234.06
SO-102078,2025-01-21,Midwest,Partner,SMB,39,199.25,0.1,6993.68,5314.27
SO-102325,2025-01-21,West,Marketplace,Mid-Market,9,865.61,0.05,7400.97,5068.7
SO-100062,2025-01-22,West,Direct,Enterprise,6,2531.18,0.0,15187.08,9518.28
SO-100158,2025-01-22,West,Marketplace,SMB,48,56.91,0.15,2321.93,1856.18
SO-100289,2025-01-22,West,Direct,SMB,1,245.85,0.0,245.85,164.08
SO-100444,2025-01-22,South,Marketplace,Mid-Market,13,918.12,0.0,11935.56,7691.27
SO-100463,2025-01-22,Midwest,Direct,Mid-Market,30,435.99,0.0,13079.7,9323.34
SO-100551,2025-01-22,West,Direct,SMB,24,212.4,0.05,4842.72,3410.09
SO-101130,2025-01-22,South,Direct,Mid-Market,13,757.59,0.0,9848.67,6820.54
SO-101291,2025-01-22,West,Partner,SMB,23,217.92,0.0,5012.16,3069.89
SO-101307,2025-01-22,Midwest,Marketplace,SMB,47,205.81,0.05,9189.42,5378.65
SO-101432,2025-01-22,West,Direct,Mid-Market,23,437.19,0.0,10055.37,5676.91
SO-101467,2025-01-22,West,Partner,Mid-Market,16,465.96,0.0,7455.36,4436.87
SO-101673,2025-01-22,Northeast,Partner,SMB,39,119.55,0.0,4662.45,2980.21
SO-101799,2025-01-22,South,Partner,SMB,35,208.61,0.0,7301.35,5098.3
SO-101866,2025-01-22,Midwest,Direct,SMB,55,122.18,0.0,6719.9,3805.39
SO-101946,2025-01-22,South,Partner,Mid-Market,18,880.01,0.0,15840.18,11195.52
SO-102086,2025-01-22,West,Direct,Mid-Market,30,328.86,0.25,7399.35,6988.08
SO-100104,2025-01-23,Northeast,Partner,Mid-Market,24,754.43,0.15,15390.37,10873.91
SO-100125,2025-01-23,West,Partner,SMB,31,125.2,0.05,3687.14,2554.54
SO-100319,2025-01-23,South,Partner,SMB,53,250.46,0.0,13274.38,8533.95
SO-100406,2025-01-23,West,Direct,Mid-Market,13,844.24,0.1,9877.61,6265.87
SO-100506,2025-01-23,Northeast,Marketplace,Mid-Market,20,656.54,0.0,13130.8,7943.77
SO-100905,2025-01-23,West,Partner,Mid-Market,12,766.67,0.0,9200.04,5552.01
SO-100975,2025-01-23,South,Direct,SMB,49,97.19,0.0,4762.31,2941.71
SO-101220,2025-01-23,Northeast,Direct,Mid-Market,17,775.99,0.0,13191.83,7363.28
SO-101386,2025-01-23,Northeast,Direct,Enterprise,9,1860.63,0.0,16745.67,10835.07
SO-101931,2025-01-23,Midwest,Direct,Mid-Market,3,907.71,0.0,2723.13,1566.73
SO-100003,2025-01-24,West,Marketplace,SMB,9,118.85,0.0,1069.65,609.73
SO-100690,2025-01-24,West,Partner,SMB,51,249.22,0.0,12710.22,7686.46
SO-101252,2025-01-24,Northeast,Direct,SMB,46,213.03,0.0,9799.38,6644.91
SO-101354,2025-01-24,South,Direct,Mid-Market,27,541.43,0.0,14618.61,9023.33
SO-101357,2025-01-24,Midwest,Marketplace,Mid-Market,10,866.78,0.0,8667.8,5095.96
SO-100315,2025-01-25,South,Marketplace,SMB,44,73.35,0.1,2904.66,1890.36
SO-100395,2025-01-25,West,Direct,Mid-Market,19,919.71,0.0,17474.49,10578.55
SO-100605,2025-01-25,South,Marketplace,SMB,54,184.68,0.0,9972.72,6060.25
SO-101269,2025-01-25,Northeast,Partner,SMB,54,203.15,0.0,10970.1,7521.17
SO-101311,2025-01-25,South,Marketplace,Enterprise,11,1038.44,0.1,10280.56,7345.04
SO-101571,2025-01-25,West,Partner,SMB,14,136.14,0.05,1810.66,1306.52
SO-101789,2025-01-25,South,Partner,Mid-Market,2,327.23,0.0,654.46,404.7
SO-101864,2025-01-25,Midwest,Marketplace,Enterprise,9,2047.86,0.0,18430.74,13026.88
SO-102259,2025-01-25,West,Marketplace,SMB,22,284.02,0.0,6248.44,4272.25
SO-102337,2025-01-25,West,Partner,SMB,35,92.63,0.0,3242.05,2112.28
SO-102372,2025-01-25,Northeast,Marketplace,Enterprise,2,1089.93,0.0,2179.86,1482.58
SO-100101,2025-01-26,Midwest,Marketplace,SMB,13,140.04,0.15,1547.44,1061.03
SO-100205,2025-01-26,Northeast,Partner,Mid-Market,5,323.91,0.0,1619.55,1144.44
SO-100332,2025-01-26,Northeast,Partner,SMB,32,152.86,0.1,4402.37,3518.26
SO-100453,2025-01-26,Northeast,Marketplace,SMB,51,149.9,0.05,7262.65,5467.1
SO-100458,2025-01-26,Midwest,Direct,Mid-Market,27,568.73,0.05,14587.92,10465.9
SO-100542,2025-01-26,Midwest,Direct,Enterprise,7,2321.92,0.0,16253.44,9020.61
SO-100747,2025-01-26,Midwest,Direct,Mid-Market,8,372.96,0.0,2983.68,1684.79
SO-101003,2025-01-26,Midwest,Partner,Enterprise,2,1390.85,0.1,2503.53,1709.02
SO-101165,2025-01-26,Northeast,Partner,SMB,27,100.64,0.0,2717.28,1606.8
SO-101266,2025-01-26,Northeast,Partner,Mid-Market,24,414.5,0.15,8455.8,6715.29
SO-101843,2025-01-26,Midwest,Marketplace,SMB,4,277.76,0.0,1111.04,677.04
SO-102392,2025-01-26,West,Partner,Enterprise,11,1113.44,0.0,12247.84,8504.99
SO-100387,2025-01-27,South,Direct,SMB,14,262.09,0.1,3302.33,2046.9
SO-100425,2025-01-27,Midwest,Direct,SMB,1,180.94,0.0,180.94,116.89
SO-100590,2025-01-27,South,Marketplace,Enterprise,8,1049.36,0.15,7135.65,4807.06
SO-101758,2025-01-27,Midwest,Partner,Mid-Market,3,323.68,0.0,971.04,670.77
SO-100165,2025-01-28,South,Partner,Enterprise,8,1062.67,0.05,8076.29,5868.55
SO-100210,2025-01-28,Northeast,Marketplace,Mid-Market,18,344.81,0.0,6206.58,4268.62
SO-100318,2025-01-28,West,Marketplace,SMB,14,154.23,0.05,2051.26,1528.26
SO-100475,2025-01-28,West,Marketplace,SMB,25,243.16,0.0,6079.0,4060.16
SO-100713,2025-01-28,South,Partner,SMB,30,103.1,0.05,2938.35,2110.19
SO-101261,2025-01-28,Northeast,Direct,SMB,49,298.93,0.0,14647.57,9438.44
SO-101423,2025-01-28,South,Marketplace,Mid-Market,5,866.77,0.05,4117.16,2715.53
SO-101529,2025-01-28,West,Partner,Mid-Market,7,410.16,0.0,2871.12,1740.62
SO-102056,2025-01-28,West,Partner,Enterprise,4,1858.97,0.0,7435.88,5216.16
SO-102162,2025-01-28,Midwest,Partner,Enterprise,7,2339.52,0.0,16376.64,9224.22
SO-100420,2025-01-29,South,Marketplace,SMB,48,151.57,0.05,6911.59,5235.9
SO-100604,2025-01-29,South,Marketplace,Mid-Market,29,428.77,0.0,12434.33,8475.81
SO-101345,2025-01-29,Northeast,Partner,SMB,56,130.21,0.1,6562.58,4616.93
SO-101505,2025-01-29,Northeast,Direct,Enterprise,1,1348.03,0.0,1348.03,935.34
SO-101520,2025-01-29,South,Marketplace,SMB,5,169.46,0.1,762.57,588.06
SO-101855,2025-01-29,Midwest,Direct,SMB,4,220.93,0.0,883.72,535.1
SO-101985,2025-01-29,West,Direct,Enterprise,1,1402.04,0.25,1051.53,881.33
SO-101998,2025-01-29,Midwest,Direct,Enterprise,2,1095.52,0.05,2081.49,1329.01
SO-102264,2025-01-29,Northeast,Direct,Enterprise,1,1847.75,0.0,1847.75,1023.11
SO-100245,2025-01-30,West,Direct,SMB,51,215.41,0.0,10985.91,6933.95
SO-100372,2025-01-30,Midwest,Partner,SMB,51,56.59,0.05,2741.79,1751.48
SO-100469,2025-01-30,Northeast,Marketplace,SMB,57,219.3,0.05,11875.09,7826.5
SO-100613,2025-01-30,Northeast,Direct,Mid-Market,30,913.55,0.1,24665.85,15808.51
SO-100875,2025-01-30,Northeast,Marketplace,SMB,16,258.3,0.0,4132.8,2452.07
SO-101147,2025-01-30,South,Direct,SMB,13,107.18,0.0,1393.34,900.67
SO-101380,2025-01-30,Midwest,Partner,SMB,38,253.54,0.0,9634.52,5769.84
SO-102147,2025-01-30,Midwest,Direct,Mid-Market,6,359.94,0.15,1835.69,1424.74
SO-102229,2025-01-30,South,Direct,Enterprise,4,1165.18,0.15,3961.61,3222.86
SO-100379,2025-01-31,Midwest,Direct,SMB,14,186.59,0.0,2612.26,1854.07
SO-101038,2025-01-31,Midwest,Direct,Enterprise,8,1457.14,0.0,11657.12,8294.03
SO-101280,2025-01-31,Midwest,Direct,Mid-Market,4,873.38,0.05,3318.84,2369.27
SO-101343,2025-01-31,Northeast,Direct,SMB,59,217.75,0.15,10920.16,7456.88
SO-101479,2025-01-31,West,Marketplace,SMB,19,57.33,0.0,1089.27,737.55
SO-101726,2025-01-31,South,Partner,Mid-Market,29,572.63,0.05,15775.96,10885.5
SO-101895,2025-01-31,Midwest,Marketplace,Mid-Market,20,947.65,0.0,18953.0,13556.59
SO-101993,2025-01-31,South,Direct,SMB,20,131.76,0.0,2635.2,1564.71
SO-100103,2025-02-01,Midwest,Marketplace,Mid-Market,25,359.6,0.05,8540.5,5499.23
SO-100185,2025-02-01,Northeast,Direct,Enterprise,7,2456.24,0.05,16334.0,11429.16
SO-100448,2025-02-01,Northeast,Partner,SMB,5,197.79,0.25,741.71,550.85
SO-100701,2025-02-01,Northeast,Marketplace,Mid-Market,15,340.39,0.25,3829.39,3263.72
SO-101744,2025-02-01,South,Direct,Mid-Market,20,514.12,0.1,9254.16,5926.22
SO-101781,2025-02-01,Northeast,Direct,Mid-Market,10,566.67,0.15,4816.69,3518.97
SO-101830,2025-02-01,Northeast,Direct,SMB,22,53.91,0.0,1186.02,675.55
SO-101880,2025-02-01,Northeast,Direct,SMB,26,180.73,0.0,4698.98,2732.79
SO-102186,2025-02-01,West,Direct,Mid-Market,29,375.16,0.0,10879.64,6422.05
SO-100043,2025-02-02,West,Marketplace,Enterprise,4,2551.88,0.0,10207.52,6074.96
SO-100511,2025-02-02,South,Marketplace,SMB,52,296.65,0.0,15425.8,9512.96
SO-100528,2025-02-02,Northeast,Marketplace,SMB,30,86.08,0.05,2453.28,1705.65
SO-100806,2025-02-02,Northeast,Partner,Mid-Market,4,418.15,0.0,1672.6,1006.26
SO-100924,2025-02-02,West,Direct,Mid-Market,25,517.69,0.0,12942.25,8222.45
SO-101105,2025-02-02,West,Marketplace,Enterprise,5,1873.28,0.25,7024.8,5670.86
SO-101372,2025-02-02,Northeast,Direct,Mid-Market,15,807.31,0.0,12109.65,8678.89
SO-101777,2025-02-02,Northeast,Direct,SMB,41,102.44,0.0,4200.04,2742.09
SO-102131,2025-02-02,West,Partner,Mid-Market,11,928.0,0.15,8676.8,6504.95
SO-102146,2025-02-02,West,Direct,SMB,45,174.95,0.0,7872.75,4683.05
SO-102353,2025-02-02,South,Direct,SMB,4,143.27,0.0,573.08,339.9
SO-100105,2025-02-03,South,Marketplace,Enterprise,4,1082.34,0.1,3896.42,2723.93
SO-100159,2025-02-03,West,Direct,SMB,49,278.17,0.15,11585.78,7744.89
SO-100746,2025-02-03,Northeast,Direct,SMB,11,221.27,0.0,2433.97,1566.54
SO-101551,2025-02-03,South,Direct,SMB,20,61.11,0.0,1222.2,722.33
